食物名称,热量,食物热量详情页
PASTA厨乐 意大利面(#111菠菜面)，又叫PASTAZARA 意大利面（#111菠菜面）,热量：355 大卡(每100克),http://www.boohee.com/shiwu/PastahiZarachuleyidalimian_hi1
Golden 90%全麦土司,热量：257 大卡(每100克),http://www.boohee.com/shiwu/Goldenhi90quanmaitusi
麦阿姨担担面,热量：352 大卡(每100克),http://www.boohee.com/shiwu/maiayidandanmian
万基 澳洲农庄特浓牛奶燕麦片，又叫萬基澳洲农庄特浓牛奶燕麦片,热量：298 大卡(每100克),http://www.boohee.com/shiwu/wanjiaozhounongzhuangtenongniu
宾堡 原生黑麦切片面包(红豆入味)320g,热量：251 大卡(每100克),http://www.boohee.com/shiwu/binbaoyuanshengheimaiqiepianmi
金粉香港全蛋面(非油炸),热量：371 大卡(每100克),http://www.boohee.com/shiwu/jinfenxianggangquandanmian_fei
盐水虾，又叫焖鲜虾,热量：92 大卡(每100克),http://www.boohee.com/shiwu/yanshuixia
清炒绿豆芽，又叫有机活体豆苗、炒绿豆芽,热量：44 大卡(每100克),http://www.boohee.com/shiwu/chaolvdouya
葱油饼，又叫葱花饼、葱油饼,热量：259 大卡(每100克),http://www.boohee.com/shiwu/congyoubing
清炒西葫芦，又叫炒西葫、西葫芦丝,热量：42 大卡(每100克),http://www.boohee.com/shiwu/qingchaoxihulu
西红柿鸡蛋面，又叫番茄蛋面、番茄鸡蛋面,热量：98 大卡(每100克),http://www.boohee.com/shiwu/xihongshijidanmian
酸辣土豆丝,热量：122 大卡(每100克),http://www.boohee.com/shiwu/suanlatudousi
红烧肉,热量：513 大卡(每100克),http://www.boohee.com/shiwu/hongshaorou
韭菜包子,热量：171 大卡(每100克),http://www.boohee.com/shiwu/jiucaibaozi
卤蛋，又叫卤鸡蛋,热量：148 大卡(每100克),http://www.boohee.com/shiwu/lujidan
清炒土豆丝,热量：95 大卡(每100克),http://www.boohee.com/shiwu/qingchaotudousi
咸面包,热量：275 大卡(每100克),http://www.boohee.com/shiwu/xianmianbao
黑芝麻汤圆，又叫元宵、汤圆、芝麻汤圆,热量：311 大卡(每100克),http://www.boohee.com/shiwu/heizhimatangyuan
黑米,热量：341 大卡(每100克),http://www.boohee.com/shiwu/heimi
煮芋头，又叫芋头(煮),热量：60 大卡(每100克),http://www.boohee.com/shiwu/yutou_zhu
多维面包,热量：316 大卡(每100克),http://www.boohee.com/shiwu/duoweimianbao
小麦粉(标准粉)，又叫面粉，小麦标准粉,热量：362 大卡(每100克),http://www.boohee.com/shiwu/xiaomaifen_biaozhunfen
澳洲燕麦片,热量：359 大卡(每100克),http://www.boohee.com/shiwu/aozhouyanmaipian
玉米面(黄),热量：350 大卡(每100克),http://www.boohee.com/shiwu/yumimian_huang
挂面,热量：353 大卡(每100克),http://www.boohee.com/shiwu/guamian_junzhi
粉条(干),热量：338 大卡(每100克),http://www.boohee.com/shiwu/fentiao
荷包蛋(油煎)，又叫荷包蛋、煎蛋、煎荷包蛋、煎鸡蛋,热量：195 大卡(每100克),http://www.boohee.com/shiwu/hebaodan_youjian
咸鸭蛋，又叫盐蛋、腌蛋、味蛋,热量：190 大卡(每100克),http://www.boohee.com/shiwu/xianyadan
猪肉(肥瘦)，又叫豕肉、彘肉,热量：395 大卡(每100克),http://www.boohee.com/shiwu/zhurou_feishou
瓦罐鸡汤(含料)，又叫瓦罐汤,热量：190 大卡(每100克),http://www.boohee.com/shiwu/waguanjitang_rou
瓦罐鸡汤(无料),热量：27 大卡(每100克),http://www.boohee.com/shiwu/waguanjitang_tang
猪小排(良杂猪),热量：351 大卡(每100克),http://www.boohee.com/shiwu/zhuxiaopai_liangzazhu
猪肉(奶脯)，又叫软五花、奶脯、五花肉,热量：349 大卡(每100克),http://www.boohee.com/shiwu/zhurou_naifu
猪大排，又叫猪排,热量：264 大卡(每100克),http://www.boohee.com/shiwu/zhudapai
牛肉(腑肋)，又叫牛腩,热量：123 大卡(每100克),http://www.boohee.com/shiwu/niurou_fulei
Easy Fun 低脂鸡胸肉肠,热量：142 大卡(每100克),http://www.boohee.com/shiwu/fdb9c7b6
鸡(土鸡，家养),热量：124 大卡(每100克),http://www.boohee.com/shiwu/ji_tuji_jiayang
鸡(母鸡，一年内),热量：256 大卡(每100克),http://www.boohee.com/shiwu/muji_yiniannei
鸡(肉鸡，肥),热量：389 大卡(每100克),http://www.boohee.com/shiwu/rouji_fei
虾，又叫对虾、鲜虾仁、虾仁,热量：93 大卡(每100克),http://www.boohee.com/shiwu/fd5d8dea
鸭肉，又叫鸭子、鹜肉、家凫肉,热量：240 大卡(每100克),http://www.boohee.com/shiwu/ya_junzhi
猪蹄，又叫猪脚、猪手、猪蹄爪,热量：260 大卡(每100克),http://www.boohee.com/shiwu/zhuti
猪肉(瘦)，又叫猪精肉，瘦肉,热量：143 大卡(每100克),http://www.boohee.com/shiwu/zhurou_shou
鸡蛋白(鸡蛋清)，又叫鸡蛋白、鸡蛋清、蛋清、蛋白,热量：60 大卡(每100克),http://www.boohee.com/shiwu/jidanbai_jidanqing
火腿肠,热量：212 大卡(每100克),http://www.boohee.com/shiwu/huotuichang
鸡胸肉，又叫鸡柳肉、鸡里脊肉、鸡胸、鸡胸脯肉,热量：118 大卡(每100克),http://www.boohee.com/shiwu/jixiongfurou
肯德基 新奥尔良烤翅，又叫KFC 新奥尔良烤翅,热量：240 大卡(每100克),http://www.boohee.com/shiwu/xinaoerliangjichi_kendeji
黄鱼(小黄花鱼)，又叫小黄花鱼、黄花鱼、花鱼、小鲜,热量：99 大卡(每100克),http://www.boohee.com/shiwu/huangyu_xiaohuanghuayu
青鱼，又叫青皮鱼、青鳞鱼、青混、鲭、黑鲩、螺狮青、青皮鱼、青鳞鱼、青混,热量：118 大卡(每100克),http://www.boohee.com/shiwu/qingyu
鸭蛋，又叫鸭卵,热量：180 大卡(每100克),http://www.boohee.com/shiwu/yadan
猪肉松，又叫肉松,热量：316 大卡(每100克),http://www.boohee.com/shiwu/zhurousong_junzhi
麦当劳 麦香鱼,热量：253 大卡(每100克),http://www.boohee.com/shiwu/maidanglaomaixiangyu
猪血，又叫液体肉、血豆腐、血花,热量：55 大卡(每100克),http://www.boohee.com/shiwu/zhuxue
冻虾仁，又叫冷冻虾仁,热量：48 大卡(每100克),http://www.boohee.com/shiwu/xiaren_hong
猪肉(肋条肉),热量：568 大卡(每100克),http://www.boohee.com/shiwu/zhurou_leitiaorou
虾皮,热量：153 大卡(每100克),http://www.boohee.com/shiwu/xiapi
鱼丸，又叫鱼丸子、鱼丸鱼蛋,热量：107 大卡(每100克),http://www.boohee.com/shiwu/yuwan
香肠，又叫腊肠、南肠、灌肠,热量：508 大卡(每100克),http://www.boohee.com/shiwu/xiangchang
肯德基 吮指原味鸡，又叫KFC 吮指原味鸡,热量：346 大卡(每100克),http://www.boohee.com/shiwu/kendejishunzhiyuanweiji
鲫鱼，又叫河鲫、鲋鱼、喜头、鲫瓜子、喜头鱼、海附鱼、童子鲫、鲭、喜头鱼、海附鱼,热量：108 大卡(每100克),http://www.boohee.com/shiwu/jiyu
火腿，又叫兰熏、熏蹄、南腿,热量：330 大卡(每100克),http://www.boohee.com/shiwu/huotui
牛肉干，又叫牛干巴,热量：550 大卡(每100克),http://www.boohee.com/shiwu/niurougan
咸鸭蛋(煮),热量：177 大卡(每100克),http://www.boohee.com/shiwu/xianyadan_zhu
鸡翅，又叫鸡翼、大转弯,热量：202 大卡(每100克),http://www.boohee.com/shiwu/jichi
烤鸡，又叫吊烧鸡,热量：265 大卡(每100克),http://www.boohee.com/shiwu/kaoji
热狗肠,热量：307 大卡(每100克),http://www.boohee.com/shiwu/regouchang
羊肉串(烤),热量：206 大卡(每100克),http://www.boohee.com/shiwu/yangrouchuan_kao
基围虾，又叫南美虾,热量：101 大卡(每100克),http://www.boohee.com/shiwu/jiweixia
猪肝,热量：126 大卡(每100克),http://www.boohee.com/shiwu/zhugan
鸭胸脯肉,热量：90 大卡(每100克),http://www.boohee.com/shiwu/yaxiongfurou
虾虎，又叫虾虎、琵琶虾、虾蛄、虾爬子,热量：81 大卡(每100克),http://www.boohee.com/shiwu/xiahu
羊肉(肥瘦)，又叫山羊肉、绵羊肉、羊腰窝肉、羊腩,热量：203 大卡(每100克),http://www.boohee.com/shiwu/yangrou_feishou
花蛤蜊，又叫花甲,热量：45 大卡(每100克),http://www.boohee.com/shiwu/huageli
墨鱼丸,热量：128 大卡(每100克),http://www.boohee.com/shiwu/moyuwan
黄鱼(大黄花鱼)，又叫大黄花鱼、黄鱼、大鲜、大王鱼、金龙、石首鱼、石头鱼,热量：97 大卡(每100克),http://www.boohee.com/shiwu/huangyu_dahuanghuayu
带鱼，又叫刀鱼、裙带鱼、牙带、白带鱼、柳鞭鱼、带柳、晦刀鱼、白带鱼、刀鱼,热量：127 大卡(每100克),http://www.boohee.com/shiwu/daiyu
猪肉脯,热量：378 大卡(每100克),http://www.boohee.com/shiwu/zhuroufu
广式腊肠,热量：584 大卡(每100克),http://www.boohee.com/shiwu/lachang
罗非鱼，又叫吴郭鱼、越南鱼、非洲鲫鱼、福寿鱼、尼罗鱼,热量：98 大卡(每100克),http://www.boohee.com/shiwu/luofeiyu
鳕鱼，又叫鳕狭、明太鱼、大头青、大口鱼、大头鱼、大头腥、鳕狭、明太鱼,热量：88 大卡(每100克),http://www.boohee.com/shiwu/xueyu
午餐肉,热量：229 大卡(每100克),http://www.boohee.com/shiwu/wucanrou
鸭肝,热量：128 大卡(每100克),http://www.boohee.com/shiwu/yagan
猪肝(卤煮),热量：203 大卡(每100克),http://www.boohee.com/shiwu/zhugan_luzhu
鸡肝,热量：121 大卡(每100克),http://www.boohee.com/shiwu/jigan
鲈鱼，又叫鲈花、鲈板、鲈子鱼、寨花、四腮鱼、鲁鱼、花糜、鲈花,热量：105 大卡(每100克),http://www.boohee.com/shiwu/luyu
对虾，又叫大虾,热量：93 大卡(每100克),http://www.boohee.com/shiwu/duixia
鹌鹑蛋，又叫鹑鸟蛋、鹌鹑卵,热量：160 大卡(每100克),http://www.boohee.com/shiwu/anchundan
鲤鱼，又叫龙门鱼、鲤拐子、赤鲤、黄鲤、白鲤、赖鲤、鲤拐子,热量：109 大卡(每100克),http://www.boohee.com/shiwu/liyu
明虾,热量：85 大卡(每100克),http://www.boohee.com/shiwu/mingxia
北京烤鸭,热量：436 大卡(每100克),http://www.boohee.com/shiwu/beijingkaoya
鱼片干,热量：303 大卡(每100克),http://www.boohee.com/shiwu/yupiangan
鸡爪，又叫鸡掌、凤爪、鸡脚、凤足,热量：254 大卡(每100克),http://www.boohee.com/shiwu/jizhua
鸡蛋黄，又叫蛋黄,热量：328 大卡(每100克),http://www.boohee.com/shiwu/jidanhuang
无油煎蛋，又叫煎蛋,热量：164 大卡(每100克),http://www.boohee.com/shiwu/hebaodan_zhu
叉烧肉,热量：196 大卡(每100克),http://www.boohee.com/shiwu/chashaorou
广东香肠,热量：433 大卡(每100克),http://www.boohee.com/shiwu/guangdongxiangchang
烧麦，又叫烧卖、糯米烧卖,热量：220 大卡(每100克),http://www.boohee.com/shiwu/shaomai
炒大白菜，又叫大白菜,热量：53 大卡(每100克),http://www.boohee.com/shiwu/chaodabaicai
西红柿鸡蛋汤，又叫西红柿蛋汤、西红柿蛋花汤,热量：32 大卡(每100毫升),http://www.boohee.com/shiwu/xihongshijidantang
大饼，又叫饼，家常饼，死面饼,热量：208 大卡(每100克),http://www.boohee.com/shiwu/dabing
清蒸鱼，又叫清蒸鱼、蒸鱼、鱼、蒸洄鱼,热量：106 大卡(每100克),http://www.boohee.com/shiwu/qingzhengyu
酸菜鱼，又叫酸汤鱼、酸辣鱼、酸菜鱼,热量：98 大卡(每100克),http://www.boohee.com/shiwu/suancaiyu
寿司 自制1，又叫寿司卷,热量：141 大卡(每100克),http://www.boohee.com/shiwu/shousijuanhihifebruaryzizhi
麻婆豆腐，又叫麻婆豆腐,热量：126 大卡(每100克),http://www.boohee.com/shiwu/mapodoufu
牛肉面，又叫兰州拉面、牛腩面、牛肉拌面,热量：102 大卡(每100克),http://www.boohee.com/shiwu/niuroumian
烧包菜丝,热量：48 大卡(每100克),http://www.boohee.com/shiwu/shaobaocaisi
脆皮肠,热量：302 大卡(每100克),http://www.boohee.com/shiwu/cuipichang
酱鸭，又叫鸭肉,热量：266 大卡(每100克),http://www.boohee.com/shiwu/jiangya
河虾,热量：87 大卡(每100克),http://www.boohee.com/shiwu/hexia
鸭翅，又叫鸭肉、老卤鸭翅,热量：146 大卡(每100克),http://www.boohee.com/shiwu/yachi
培根(熏肉),热量：181 大卡(每100克),http://www.boohee.com/shiwu/larou_peigen
